date,product_name,retailer,price_inr
2024-09-23,iPhone 16,Amazon.in,88870.43
2024-09-23,iPhone 16,Flipkart,94192.52
2024-09-23,iPhone 16,RelianceDigital,91953.71
2024-09-23,iPhone 16,Croma,90808.7
2024-09-23,Samsung Galaxy S26 Ultra,Amazon.in,119965.83
2024-09-23,Samsung Galaxy S26 Ultra,Flipkart,119877.11
2024-09-23,Samsung Galaxy S26 Ultra,RelianceDigital,119141.3
2024-09-23,Samsung Galaxy S26 Ultra,Croma,129354.98
2024-09-23,Google Pixel 10 Pro,Amazon.in,85780.53
2024-09-23,Google Pixel 10 Pro,Flipkart,86872.25
2024-09-23,Google Pixel 10 Pro,RelianceDigital,80917.79
2024-09-23,Google Pixel 10 Pro,Croma,88807.25
2024-09-23,OnePlus 14,Amazon.in,72417.05
2024-09-23,OnePlus 14,Flipkart,68243.11
2024-09-23,OnePlus 14,RelianceDigital,67815.49
2024-09-23,OnePlus 14,Croma,68043.41
2024-09-23,Dell XPS 15,Amazon.in,183738.86
2024-09-23,Dell XPS 15,Flipkart,188932.45
2024-09-23,Dell XPS 15,RelianceDigital,186906.08
2024-09-23,Dell XPS 15,Croma,184114.43
2024-09-23,Apple MacBook Air (M4),Amazon.in,121230.28
2024-09-23,Apple MacBook Air (M4),Flipkart,115092.12
2024-09-23,Apple MacBook Air (M4),RelianceDigital,117329.61
2024-09-23,Apple MacBook Air (M4),Croma,118355.27
2024-09-23,HP Spectre x360,Amazon.in,160385.31
2024-09-23,HP Spectre x360,Flipkart,165151.89
2024-09-23,HP Spectre x360,RelianceDigital,155660.28
2024-09-23,HP Spectre x360,Croma,160806.59
2024-09-23,Lenovo Legion 5 Pro,Amazon.in,141861.72
2024-09-23,Lenovo Legion 5 Pro,Flipkart,134091.91
2024-09-23,Lenovo Legion 5 Pro,RelianceDigital,141730.35
2024-09-23,Lenovo Legion 5 Pro,Croma,135884.62
2024-09-23,Sony WH-1000XM6 Headphones,Amazon.in,28683.79
2024-09-23,Sony WH-1000XM6 Headphones,Flipkart,31390.35
2024-09-23,Sony WH-1000XM6 Headphones,RelianceDigital,31335.85
2024-09-23,Sony WH-1000XM6 Headphones,Croma,30888.19
2024-09-23,Apple AirPods Pro 3,Amazon.in,24352.27
2024-09-23,Apple AirPods Pro 3,Flipkart,23782.42
2024-09-23,Apple AirPods Pro 3,RelianceDigital,25325.07
2024-09-23,Apple AirPods Pro 3,Croma,24716.38
2024-09-23,Bose QuietComfort Ultra Earbuds,Amazon.in,25956.31
2024-09-23,Bose QuietComfort Ultra Earbuds,Flipkart,26950.03
2024-09-23,Bose QuietComfort Ultra Earbuds,RelianceDigital,25646.87
2024-09-23,Bose QuietComfort Ultra Earbuds,Croma,28056.24
2024-09-23,JBL Flip 7 Speaker,Amazon.in,9735.75
2024-09-23,JBL Flip 7 Speaker,Flipkart,10127.46
2024-09-23,JBL Flip 7 Speaker,RelianceDigital,9790.43
2024-09-23,JBL Flip 7 Speaker,Croma,10009.66
2024-09-23,Apple Watch Series 11,Amazon.in,42469.43
2024-09-23,Apple Watch Series 11,Flipkart,40839.21
2024-09-23,Apple Watch Series 11,RelianceDigital,44155.55
2024-09-23,Apple Watch Series 11,Croma,43306.87
2024-09-23,Samsung Galaxy Watch 7,Amazon.in,31000.0
2024-09-23,Samsung Galaxy Watch 7,Flipkart,30955.4
2024-09-23,Samsung Galaxy Watch 7,RelianceDigital,30076.41
2024-09-23,Samsung Galaxy Watch 7,Croma,31191.54
2024-09-23,Samsung 55-inch QLED TV,Amazon.in,86165.23
2024-09-23,Samsung 55-inch QLED TV,Flipkart,87208.94
2024-09-23,Samsung 55-inch QLED TV,RelianceDigital,85795.25
2024-09-23,Samsung 55-inch QLED TV,Croma,88112.46
2024-09-23,LG C5 65-inch OLED TV,Amazon.in,248492.33
2024-09-23,LG C5 65-inch OLED TV,Flipkart,245492.63
2024-09-23,LG C5 65-inch OLED TV,RelianceDigital,259516.48
2024-09-23,LG C5 65-inch OLED TV,Croma,246819.99
2024-09-23,Sony PlayStation 5 Pro,Amazon.in,54132.93
2024-09-23,Sony PlayStation 5 Pro,Flipkart,55310.77
2024-09-23,Sony PlayStation 5 Pro,RelianceDigital,53308.74
2024-09-23,Sony PlayStation 5 Pro,Croma,57146.78
2024-09-23,Canon EOS R7 Camera,Amazon.in,128544.84
2024-09-23,Canon EOS R7 Camera,Flipkart,140843.55
2024-09-23,Canon EOS R7 Camera,RelianceDigital,138145.41
2024-09-23,Canon EOS R7 Camera,Croma,130274.5
2024-09-23,DJI Mini 5 Pro Drone,Amazon.in,84838.95
2024-09-23,DJI Mini 5 Pro Drone,Flipkart,92296.39
2024-09-23,DJI Mini 5 Pro Drone,RelianceDigital,91117.02
2024-09-23,DJI Mini 5 Pro Drone,Croma,91597.38
2024-09-23,Logitech MX Master 4 Mouse,Amazon.in,8169.65
2024-09-23,Logitech MX Master 4 Mouse,Flipkart,7649.35
2024-09-23,Logitech MX Master 4 Mouse,RelianceDigital,7839.83
2024-09-23,Logitech MX Master 4 Mouse,Croma,7654.0
2024-09-24,iPhone 16,Amazon.in,89183.02
2024-09-24,iPhone 16,Flipkart,94177.21
2024-09-24,iPhone 16,RelianceDigital,92206.81
2024-09-24,iPhone 16,Croma,91254.63
2024-09-24,Samsung Galaxy S26 Ultra,Amazon.in,118936.41
2024-09-24,Samsung Galaxy S26 Ultra,Flipkart,119181.59
2024-09-24,Samsung Galaxy S26 Ultra,RelianceDigital,118467.96
2024-09-24,Samsung Galaxy S26 Ultra,Croma,128758.88
2024-09-24,Google Pixel 10 Pro,Amazon.in,85203.28
2024-09-24,Google Pixel 10 Pro,Flipkart,86219.46
2024-09-24,Google Pixel 10 Pro,RelianceDigital,80607.74
2024-09-24,Google Pixel 10 Pro,Croma,88427.04
2024-09-24,OnePlus 14,Amazon.in,72468.02
2024-09-24,OnePlus 14,Flipkart,68312.77
2024-09-24,OnePlus 14,RelianceDigital,67745.58
2024-09-24,OnePlus 14,Croma,68097.34
2024-09-24,Dell XPS 15,Amazon.in,183907.28
2024-09-24,Dell XPS 15,Flipkart,188752.84
2024-09-24,Dell XPS 15,RelianceDigital,187692.35
2024-09-24,Dell XPS 15,Croma,184376.68
2024-09-24,Apple MacBook Air (M4),Amazon.in,120442.14
2024-09-24,Apple MacBook Air (M4),Flipkart,114700.48
2024-09-24,Apple MacBook Air (M4),RelianceDigital,116547.79
2024-09-24,Apple MacBook Air (M4),Croma,117983.41
2024-09-24,HP Spectre x360,Amazon.in,161226.02
2024-09-24,HP Spectre x360,Flipkart,165459.8
2024-09-24,HP Spectre x360,RelianceDigital,156505.61
2024-09-24,HP Spectre x360,Croma,161502.89
2024-09-24,Lenovo Legion 5 Pro,Amazon.in,142366.76
2024-09-24,Lenovo Legion 5 Pro,Flipkart,134912.45
2024-09-24,Lenovo Legion 5 Pro,RelianceDigital,141990.74
2024-09-24,Lenovo Legion 5 Pro,Croma,135996.18
2024-09-24,Sony WH-1000XM6 Headphones,Amazon.in,28540.57
2024-09-24,Sony WH-1000XM6 Headphones,Flipkart,31224.29
2024-09-24,Sony WH-1000XM6 Headphones,RelianceDigital,31216.34
2024-09-24,Sony WH-1000XM6 Headphones,Croma,30796.22
2024-09-24,Apple AirPods Pro 3,Amazon.in,24372.6
2024-09-24,Apple AirPods Pro 3,Flipkart,23831.73
2024-09-24,Apple AirPods Pro 3,RelianceDigital,25336.37
2024-09-24,Apple AirPods Pro 3,Croma,24798.58
2024-09-24,Bose QuietComfort Ultra Earbuds,Amazon.in,25907.76
2024-09-24,Bose QuietComfort Ultra Earbuds,Flipkart,27056.85
2024-09-24,Bose QuietComfort Ultra Earbuds,RelianceDigital,25641.15
2024-09-24,Bose QuietComfort Ultra Earbuds,Croma,27966.82
2024-09-24,JBL Flip 7 Speaker,Amazon.in,9678.31
2024-09-24,JBL Flip 7 Speaker,Flipkart,10093.74
2024-09-24,JBL Flip 7 Speaker,RelianceDigital,9744.02
2024-09-24,JBL Flip 7 Speaker,Croma,9980.96
2024-09-24,Apple Watch Series 11,Amazon.in,42546.6
2024-09-24,Apple Watch Series 11,Flipkart,40878.49
