date,product_name,retailer,price_inr
2025-07-26,Apple AirPods Pro 3,Amazon.in,23653.47
2025-07-26,Apple AirPods Pro 3,Croma,24094.77
2025-07-26,Apple AirPods Pro 3,Flipkart,23662.32
2025-07-26,Apple AirPods Pro 3,RelianceDigital,24315.14
2025-07-26,Apple MacBook Air (M4),Amazon.in,109894.11
2025-07-26,Apple MacBook Air (M4),Croma,111186.35
2025-07-26,Apple MacBook Air (M4),Flipkart,106613.35
2025-07-26,Apple MacBook Air (M4),RelianceDigital,112311.15
2025-07-26,Apple Watch Series 11,Amazon.in,41096.25
2025-07-26,Apple Watch Series 11,Croma,41102.43
2025-07-26,Apple Watch Series 11,Flipkart,39843.42
2025-07-26,Apple Watch Series 11,RelianceDigital,41352.7
2025-07-26,Bose QuietComfort Ultra Earbuds,Amazon.in,25089.39
2025-07-26,Bose QuietComfort Ultra Earbuds,Croma,25691.65
2025-07-26,Bose QuietComfort Ultra Earbuds,Flipkart,24719.15
2025-07-26,Bose QuietComfort Ultra Earbuds,RelianceDigital,26385.1
2025-07-26,Dell XPS 15,Amazon.in,182863.76
2025-07-26,Dell XPS 15,Croma,179617.42
2025-07-26,Dell XPS 15,Flipkart,179622.21
2025-07-26,Dell XPS 15,RelianceDigital,185397.37
2025-07-26,Fitbit Charge 7,Amazon.in,14959.67
2025-07-26,Fitbit Charge 7,Croma,15246.22
2025-07-26,Fitbit Charge 7,Flipkart,14651.4
2025-07-26,Fitbit Charge 7,RelianceDigital,15536.25
2025-07-26,Garmin Forerunner 965,Amazon.in,56018.47
2025-07-26,Garmin Forerunner 965,Croma,56851.46
2025-07-26,Garmin Forerunner 965,Flipkart,56655.56
2025-07-26,Garmin Forerunner 965,RelianceDigital,58865.52
2025-07-26,Google Pixel 10 Pro,Amazon.in,82058.39
2025-07-26,Google Pixel 10 Pro,Croma,82100.56
2025-07-26,Google Pixel 10 Pro,Flipkart,78149.67
2025-07-26,Google Pixel 10 Pro,RelianceDigital,81308.19
2025-07-26,HP Spectre x360,Amazon.in,139907.88
2025-07-26,HP Spectre x360,Croma,140288.42
2025-07-26,HP Spectre x360,Flipkart,136964.03
2025-07-26,HP Spectre x360,RelianceDigital,139596.65
2025-07-26,JBL Flip 7 Speaker,Amazon.in,12187.67
2025-07-26,JBL Flip 7 Speaker,Croma,12492.82
2025-07-26,JBL Flip 7 Speaker,Flipkart,12193.0
2025-07-26,JBL Flip 7 Speaker,RelianceDigital,12427.82
2025-07-26,Lenovo Legion 5 Pro,Amazon.in,123239.49
2025-07-26,Lenovo Legion 5 Pro,Croma,127263.33
2025-07-26,Lenovo Legion 5 Pro,Flipkart,123287.21
2025-07-26,Lenovo Legion 5 Pro,RelianceDigital,124693.54
2025-07-26,Microsoft Surface Pro 11,Amazon.in,118904.85
2025-07-26,Microsoft Surface Pro 11,Croma,119022.88
2025-07-26,Microsoft Surface Pro 11,Flipkart,118986.84
2025-07-26,Microsoft Surface Pro 11,RelianceDigital,119928.4
2025-07-26,Nothing Tab (1),Amazon.in,31560.46
2025-07-26,Nothing Tab (1),Croma,31729.72
2025-07-26,Nothing Tab (1),Flipkart,30970.87
2025-07-26,Nothing Tab (1),RelianceDigital,32032.02
2025-07-26,OnePlus 14,Amazon.in,65783.57
2025-07-26,OnePlus 14,Croma,68384.53
2025-07-26,OnePlus 14,Flipkart,63953.92
2025-07-26,OnePlus 14,RelianceDigital,67701.7
2025-07-26,Samsung Galaxy S26 Ultra,Amazon.in,118945.33
2025-07-26,Samsung Galaxy S26 Ultra,Croma,119754.36
2025-07-26,Samsung Galaxy S26 Ultra,Flipkart,118426.27
2025-07-26,Samsung Galaxy S26 Ultra,RelianceDigital,120698.5
2025-07-26,Samsung Galaxy Tab S10 Ultra,Amazon.in,91980.12
2025-07-26,Samsung Galaxy Tab S10 Ultra,Croma,92849.07
2025-07-26,Samsung Galaxy Tab S10 Ultra,Flipkart,89829.42
2025-07-26,Samsung Galaxy Tab S10 Ultra,RelianceDigital,90922.07
2025-07-26,Samsung Galaxy Watch 8,Amazon.in,27866.71
2025-07-26,Samsung Galaxy Watch 8,Croma,28391.41
2025-07-26,Samsung Galaxy Watch 8,Flipkart,26359.55
2025-07-26,Samsung Galaxy Watch 8,RelianceDigital,28086.16
2025-07-26,Sony WH-1000XM6 Headphones,Amazon.in,31116.88
2025-07-26,Sony WH-1000XM6 Headphones,Croma,31729.18
2025-07-26,Sony WH-1000XM6 Headphones,Flipkart,30001.91
2025-07-26,Sony WH-1000XM6 Headphones,RelianceDigital,31626.66
2025-07-26,iPad Pro 13-inch (M4),Amazon.in,106161.57
2025-07-26,iPad Pro 13-inch (M4),Croma,105212.9
2025-07-26,iPad Pro 13-inch (M4),Flipkart,102133.75
2025-07-26,iPad Pro 13-inch (M4),RelianceDigital,106584.28
2025-07-26,iPhone 16,Amazon.in,75399.19
2025-07-26,iPhone 16,Croma,75559.75
2025-07-26,iPhone 16,Flipkart,75985.36
2025-07-26,iPhone 16,RelianceDigital,78148.0
2025-07-27,Apple AirPods Pro 3,Amazon.in,23408.8
2025-07-27,Apple AirPods Pro 3,Croma,24423.18
2025-07-27,Apple AirPods Pro 3,Flipkart,23970.0
2025-07-27,Apple AirPods Pro 3,RelianceDigital,24622.37
2025-07-27,Apple MacBook Air (M4),Amazon.in,108950.44
2025-07-27,Apple MacBook Air (M4),Croma,111890.75
2025-07-27,Apple MacBook Air (M4),Flipkart,106358.1
2025-07-27,Apple MacBook Air (M4),RelianceDigital,114180.2
2025-07-27,Apple Watch Series 11,Amazon.in,40476.97
2025-07-27,Apple Watch Series 11,Croma,40403.22
2025-07-27,Apple Watch Series 11,Flipkart,40573.86
2025-07-27,Apple Watch Series 11,RelianceDigital,40613.33
2025-07-27,Bose QuietComfort Ultra Earbuds,Amazon.in,25039.97
2025-07-27,Bose QuietComfort Ultra Earbuds,Croma,25227.42
2025-07-27,Bose QuietComfort Ultra Earbuds,Flipkart,24481.18
2025-07-27,Bose QuietComfort Ultra Earbuds,RelianceDigital,26453.12
2025-07-27,Dell XPS 15,Amazon.in,184318.14
2025-07-27,Dell XPS 15,Croma,182046.54
2025-07-27,Dell XPS 15,Flipkart,178604.34
2025-07-27,Dell XPS 15,RelianceDigital,182233.2
2025-07-27,Fitbit Charge 7,Amazon.in,15143.45
2025-07-27,Fitbit Charge 7,Croma,15426.96
2025-07-27,Fitbit Charge 7,Flipkart,14684.41
2025-07-27,Fitbit Charge 7,RelianceDigital,15623.58
2025-07-27,Garmin Forerunner 965,Amazon.in,57135.75
2025-07-27,Garmin Forerunner 965,Croma,56866.41
2025-07-27,Garmin Forerunner 965,Flipkart,57558.5
2025-07-27,Garmin Forerunner 965,RelianceDigital,58474.7
2025-07-27,Google Pixel 10 Pro,Amazon.in,82066.75
2025-07-27,Google Pixel 10 Pro,Croma,82430.58
2025-07-27,Google Pixel 10 Pro,Flipkart,78870.96
2025-07-27,Google Pixel 10 Pro,RelianceDigital,82226.68
2025-07-27,HP Spectre x360,Amazon.in,137475.25
2025-07-27,HP Spectre x360,Croma,142205.27
2025-07-27,HP Spectre x360,Flipkart,138092.08
2025-07-27,HP Spectre x360,RelianceDigital,139730.48
2025-07-27,JBL Flip 7 Speaker,Amazon.in,12129.73
2025-07-27,JBL Flip 7 Speaker,Croma,12414.54
2025-07-27,JBL Flip 7 Speaker,Flipkart,12115.92
2025-07-27,JBL Flip 7 Speaker,RelianceDigital,12333.33
2025-07-27,Lenovo Legion 5 Pro,Amazon.in,121134.08
2025-07-27,Lenovo Legion 5 Pro,Croma,126321.6
2025-07-27,Lenovo Legion 5 Pro,Flipkart,122327.27
2025-07-27,Lenovo Legion 5 Pro,RelianceDigital,125965.82
2025-07-27,Microsoft Surface Pro 11,Amazon.in,121102.94
2025-07-27,Microsoft Surface Pro 11,Croma,116684.42
2025-07-27,Microsoft Surface Pro 11,Flipkart,117766.95
2025-07-27,Microsoft Surface Pro 11,RelianceDigital,121243.66
2025-07-27,Nothing Tab (1),Amazon.in,31127.87
2025-07-27,Nothing Tab (1),Croma,31128.27
2025-07-27,Nothing Tab (1),Flipkart,31101.4
2025-07-27,Nothing Tab (1),RelianceDigital,32125.34
2025-07-27,OnePlus 14,Amazon.in,64785.3
2025-07-27,OnePlus 14,Croma,67483.04
2025-07-27,OnePlus 14,Flipkart,65151.32
2025-07-27,OnePlus 14,RelianceDigital,67942.23
2025-07-27,Samsung Galaxy S26 Ultra,Amazon.in,120722.81
2025-07-27,Samsung Galaxy S26 Ultra,Croma,121396.83
2025-07-27,Samsung Galaxy S26 Ultra,Flipkart,116979.17
2025-07-27,Samsung Galaxy S26 Ultra,RelianceDigital,118511.39
2025-07-27,Samsung Galaxy Tab S10 Ultra,Amazon.in,91401.89
2025-07-27,Samsung Galaxy Tab S10 Ultra,Croma,93875.22
2025-07-27,Samsung Galaxy Tab S10 Ultra,Flipkart,88352.32
2025-07-27,Samsung Galaxy Tab S10 Ultra,RelianceDigital,91339.66
2025-07-27,Samsung Galaxy Watch 8,Amazon.in,27508.12
2025-07-27,Samsung Galaxy Watch 8,Croma,28137.97
