date,product_name,retailer,price_inr
2024-09-23,iPhone 16,Amazon.in,83816.65
2024-09-23,iPhone 16,Flipkart,79443.41
2024-09-23,iPhone 16,RelianceDigital,78683.66
2024-09-23,iPhone 16,Croma,79230.43
2024-09-23,Samsung Galaxy S26 Ultra,Amazon.in,129721.75
2024-09-23,Samsung Galaxy S26 Ultra,Flipkart,126743.35
2024-09-23,Samsung Galaxy S26 Ultra,RelianceDigital,120692.21
2024-09-23,Samsung Galaxy S26 Ultra,Croma,121180.54
2024-09-23,Google Pixel 10 Pro,Amazon.in,82060.06
2024-09-23,Google Pixel 10 Pro,Flipkart,84131.52
2024-09-23,Google Pixel 10 Pro,RelianceDigital,89125.87
2024-09-23,Google Pixel 10 Pro,Croma,89156.04
2024-09-23,OnePlus 14,Amazon.in,66586.93
2024-09-23,OnePlus 14,Flipkart,68456.99
2024-09-23,OnePlus 14,RelianceDigital,69987.46
2024-09-23,OnePlus 14,Croma,68050.22
2024-09-23,Dell XPS 15,Amazon.in,183133.04
2024-09-23,Dell XPS 15,Flipkart,187209.07
2024-09-23,Dell XPS 15,RelianceDigital,185471.7
2024-09-23,Dell XPS 15,Croma,196205.69
2024-09-23,Apple MacBook Air (M4),Amazon.in,113825.82
2024-09-23,Apple MacBook Air (M4),Flipkart,111129.22
2024-09-23,Apple MacBook Air (M4),RelianceDigital,118944.74
2024-09-23,Apple MacBook Air (M4),Croma,118818.7
2024-09-23,HP Spectre x360,Amazon.in,140011.93
2024-09-23,HP Spectre x360,Flipkart,140812.71
2024-09-23,HP Spectre x360,RelianceDigital,140394.19
2024-09-23,HP Spectre x360,Croma,153677.75
2024-09-23,Lenovo Legion 5 Pro,Amazon.in,128790.11
2024-09-23,Lenovo Legion 5 Pro,Flipkart,119584.63
2024-09-23,Lenovo Legion 5 Pro,RelianceDigital,142355.98
2024-09-23,Lenovo Legion 5 Pro,Croma,120656.59
2024-09-23,Sony WH-1000XM6 Headphones,Amazon.in,32979.62
2024-09-23,Sony WH-1000XM6 Headphones,Flipkart,30817.29
2024-09-23,Sony WH-1000XM6 Headphones,RelianceDigital,31088.51
2024-09-23,Sony WH-1000XM6 Headphones,Croma,34326.02
2024-09-23,Apple AirPods Pro 3,Amazon.in,23572.83
2024-09-23,Apple AirPods Pro 3,Flipkart,24069.13
2024-09-23,Apple AirPods Pro 3,RelianceDigital,25568.54
2024-09-23,Apple AirPods Pro 3,Croma,25556.15
2024-09-23,Bose QuietComfort Ultra Earbuds,Amazon.in,25661.87
2024-09-23,Bose QuietComfort Ultra Earbuds,Flipkart,27259.3
2024-09-23,Bose QuietComfort Ultra Earbuds,RelianceDigital,26126.1
2024-09-23,Bose QuietComfort Ultra Earbuds,Croma,26561.28
2024-09-23,JBL Flip 7 Speaker,Amazon.in,15139.15
2024-09-23,JBL Flip 7 Speaker,Flipkart,10387.28
2024-09-23,JBL Flip 7 Speaker,RelianceDigital,15729.9
2024-09-23,JBL Flip 7 Speaker,Croma,15595.6
2024-09-23,Apple Watch Series 11,Amazon.in,43493.06
2024-09-23,Apple Watch Series 11,Flipkart,44694.23
2024-09-23,Apple Watch Series 11,RelianceDigital,43110.05
2024-09-23,Apple Watch Series 11,Croma,42435.22
2024-09-23,Samsung Galaxy Watch 7,Amazon.in,34945.31
2024-09-23,Samsung Galaxy Watch 7,Flipkart,32460.54
2024-09-23,Samsung Galaxy Watch 7,RelianceDigital,37063.03
2024-09-23,Samsung Galaxy Watch 7,Croma,37953.38
2024-09-23,Samsung 55-inch QLED TV,Amazon.in,61774.65
2024-09-23,Samsung 55-inch QLED TV,Flipkart,76840.37
2024-09-23,Samsung 55-inch QLED TV,RelianceDigital,75133.67
2024-09-23,Samsung 55-inch QLED TV,Croma,71268.08
2024-09-23,LG C5 65-inch OLED TV,Amazon.in,137106.37
2024-09-23,LG C5 65-inch OLED TV,Flipkart,155526.54
2024-09-23,LG C5 65-inch OLED TV,RelianceDigital,163952.74
2024-09-23,LG C5 65-inch OLED TV,Croma,148863.76
2024-09-23,Sony PlayStation 5 Pro,Amazon.in,58027.87
2024-09-23,Sony PlayStation 5 Pro,Flipkart,55703.79
2024-09-23,Sony PlayStation 5 Pro,RelianceDigital,54774.53
2024-09-23,Sony PlayStation 5 Pro,Croma,56917.85
2024-09-23,Canon EOS R7 Camera,Amazon.in,142305.17
2024-09-23,Canon EOS R7 Camera,Flipkart,148599.84
2024-09-23,Canon EOS R7 Camera,RelianceDigital,145396.96
2024-09-23,Canon EOS R7 Camera,Croma,135725.78
2024-09-23,DJI Mini 5 Pro Drone,Amazon.in,96695.08
2024-09-23,DJI Mini 5 Pro Drone,Flipkart,88674.97
2024-09-23,DJI Mini 5 Pro Drone,RelianceDigital,95335.99
2024-09-23,DJI Mini 5 Pro Drone,Croma,93809.21
2024-09-23,Logitech MX Master 4 Mouse,Amazon.in,10781.09
2024-09-23,Logitech MX Master 4 Mouse,Flipkart,11334.42
2024-09-23,Logitech MX Master 4 Mouse,RelianceDigital,8084.06
2024-09-23,Logitech MX Master 4 Mouse,Croma,8023.99
2024-09-24,iPhone 16,Amazon.in,84715.04
2024-09-24,iPhone 16,Flipkart,77567.48
2024-09-24,iPhone 16,RelianceDigital,85455.83
2024-09-24,iPhone 16,Croma,80396.33
2024-09-24,Samsung Galaxy S26 Ultra,Amazon.in,122677.78
2024-09-24,Samsung Galaxy S26 Ultra,Flipkart,117318.06
